sample,alpha,kappa,beta_0,beta_1
270,-3.3981027262427035,1.9523258451316532,0.1826324512276738,0.8812902109564842
271,-3.2543743558745186,1.9212994716508713,0.24828727201531353,0.7280216927770372
272,-2.475287437024463,2.8297357966681176,0.19785160813160788,0.7958336375447164
273,2.6757662730543696,1.9973488104223707,0.34064916145128493,0.3055075872668682
274,-2.4250805863417932,4.050759073938941,-0.040877212777474616,0.2427165789597316
275,-2.624343604916231,3.3619507809178546,-0.06574201571495328,0.2196939101102487
276,-3.0810578922167067,3.758170800331156,-0.1472630976587722,0.12831301924456598
277,-0.06843793232073839,3.2870815988639377,0.17691870234903653,0.36693157817790817
278,-0.3384558266135379,7.097692691094238,0.174541725559071,0.45143292358241227
279,1.7163370803339038,1.757118836991345,0.5905289887623163,0.8263237132750599
280,-4.514485994578015,2.4242419080205324,0.15503919038047737,0.8465983097152449
281,1.796722830030545,3.6978550216865362,0.011230883542291525,-0.1206025024558747
282,-0.1338439388226686,1.7460961749800177,0.015913772889229353,0.04200564788363996
283,0.3579271788562435,4.4368086630092725,0.2896006381912088,0.5897838459566705
284,-0.05346510364907216,6.260812350552778,0.20033493095206714,0.45860876041789556
285,3.566721274611549,3.0332845178489647,0.5624948421998376,0.640025341282564
286,-1.111681485534099,4.586816341388618,0.4127936227814488,0.9555492130863859
287,2.5244510699626943,4.6684209152848535,0.46723482194106425,0.5936872102832882
288,-0.8030771132506018,6.255440546071537,0.4639218105204407,0.9838505759530579
289,-3.5760451523823855,2.7188837984116097,0.26624125131851,0.8824672458205951
290,2.946082468047338,2.003767327692905,0.20222551745104658,0.13264762548391995
291,3.169799466541441,1.8361676052347604,0.3415304683105368,0.2266551012814949
292,3.621562908903822,3.3635526576163954,0.4078417219413443,0.3078517916081411
293,2.3838887817915486,4.183487986353807,0.38202240078763144,0.41135718559852585
294,1.4625700909115027,4.560034089878218,0.5109128671196324,0.8532565253863711
295,0.23795416809267733,3.506664818138201,0.545918817634282,1.0786970950675365
296,0.08284389866478711,5.394767906654656,0.2963891991232273,0.5199593615567748
297,-1.4918839498142535,1.8995110422309414,0.3933125833803619,0.8576967246169204
298,-1.201953821480107,2.7165865922730696,0.0780409161335395,0.3461548386993504
299,-2.1804295829642477,1.5413228909487822,-0.14915971458933922,-0.01845785072133033
300,-2.577718328228452,2.0255987775606745,0.1774786821014942,0.6251150689249604
301,-1.6904974072432868,2.4240327649036595,0.17081745359701223,0.5587793573791362
302,-0.36385076449163656,6.731309707277418,0.42679228107582734,0.8625246410717963
303,4.906097530255931,1.4336342264476132,0.7165392507998366,0.8920955837051419
304,-2.388090391688775,5.801476114779317,0.15732082521400353,0.523095800550853
305,-2.196535339839411,6.290744076885995,0.42231007652693,0.987684712323873
306,-0.11291428253088326,2.0052304083837837,0.17322766468039325,0.36193277536204854
307,-2.075254402921113,4.989697462386799,0.13555373158466685,0.525831530163426
308,1.0755289165231656,3.1199129905028093,0.1682833253854518,0.2181350868869101
309,-0.07658803182078466,1.2406463332845958,0.2221388591180202,0.47647986738713427
310,5.115468352923418,2.5725131096597322,0.5685889637228363,0.45968660779849735
311,4.814079968236281,2.21368818738612,0.23224378006256566,-0.096603592673346
312,3.6791282764484006,2.2869709459565617,-0.05885092739271528,-0.29693181103251876
313,3.6898773709599704,2.235361072067111,-0.05108608629823726,-0.31652416317144877
314,3.3269099303621994,2.126212865764454,-0.0211450718503471,-0.33647200568520585
315,2.265146990295529,3.010745456643422,-0.07805312732259492,-0.3290267054486502
316,0.5898127581795924,3.7539481186729247,0.49436060810049703,0.9351548453750882
317,0.0993736104047517,2.9991675654622454,-0.024665580461335424,-0.030967164580545443
318,2.181416537888216,4.4281935529742915,0.4135196017433058,0.4819963941804984
319,0.050302974041554996,1.7876134874834355,0.1668548196690138,0.29695821126014527
320,2.0161485029807324,2.427206134668452,0.13355922823720362,0.08257960441500807
321,-1.906410717736266,4.793942924844642,0.015619982549561751,0.2747141306909519
322,0.4399139938629547,2.650034787505054,0.41923343441554684,0.7434665002169825
323,0.3016026524203124,2.8477685015397456,0.18521688674895614,0.3434935185004516
324,1.8523284140472425,6.003213431742327,0.4935965237072511,0.7317914505078398
325,1.1730351105185686,2.684814867530895,0.25741219104527424,0.3412507847152063
326,1.3289406698268933,2.60234594950139,0.27724169842718743,0.39238423113867554
