sample,alpha,kappa,beta_0,beta_1,beta_2
182,-1.7531025481248659,6.1677514429793225,1.3155750284935863,0.13581709764724775,0.511081169693135
183,-2.9957051758070303,5.37562249245781,1.4742946041023193,-0.1333035921181535,0.1722256500645871
184,1.0378281597055257,2.834075152838682,0.015704812087171432,0.379942821121803,0.5901932929907235
185,0.703840065430901,4.035823885121667,0.33259657453888664,0.2585425163478902,0.43506197300002686
186,-0.1877391182387473,4.9738430351771585,0.9757133169881802,0.171717888799206,0.3465547580486043
187,0.7577404592640332,4.6802934262612235,1.237656467906937,0.4052957667873583,0.7382711130988856
188,-2.2466407102439634,3.1293712816004153,1.1910420666313914,0.023635550613375675,0.3283664264229211
189,-1.1987273220476844,8.08076177408537,2.003737378181837,0.043844619813763586,0.2752615164795069
190,-1.1266447800646526,8.60053054594158,2.0180451731684097,0.00588925312369648,0.28505212863322044
191,1.1516680069202316,1.740124910465429,-0.5963349004606968,0.4319697562271724,0.5885986362675555
192,2.9376643561017652,3.2075275538981396,-0.9400247573318207,0.2112812608128735,0.02209750242620269
193,0.2825169745335638,1.4621322842989644,-0.48148834654287775,0.3493652788642687,0.6153457952952194
194,2.1610216211545,5.403411181901762,0.9584352639713337,0.19353689724998938,0.17887942422364556
195,1.2200461135524854,5.397198830744862,0.9578005656906685,0.18248633940642717,0.24779632916643862
196,-0.12373934775063687,4.085337396715028,0.877076146012979,0.15127994294083008,0.3103172525664429
197,-0.42639661385298644,5.4242150098459305,1.7431985335632887,0.1752459965215937,0.45779666183376844
198,-1.2216328891521497,7.329871054382536,0.6205138748332908,0.2186291254905937,0.5784463431339463
199,-0.07048477897227397,2.016697682106659,-0.30473111549907994,0.1408610088855317,0.32585886744751225
200,-1.683994265141622,3.134969922911602,0.9773926014868964,0.039880647280646664,0.27115045075455996
201,-1.1958835993845731,3.116867320242184,0.724217648063625,0.007169741223813495,0.26941908157652805
202,-0.9422391515698745,3.3742617417498812,0.6772987106625123,0.0005061984907150582,0.2110916515865708
203,-0.9892644068797701,2.3678869122428257,1.156183902207876,0.08449889396115885,0.2968729638604877
204,-1.1627857379082438,4.7349171490700055,0.8105975465253802,0.1349599508801363,0.4724115841747059
205,0.0564749716121482,4.022256868342202,0.7864450116355385,0.10781816699353279,0.2821698883686207
206,-1.4502005171363757,1.7486469302739585,0.2304257199707291,0.15981890649953598,0.543467747931984
207,-1.1267305288138325,7.682848915930835,1.889226038565189,0.030568115972323555,0.3046743742902252
208,-1.6055330526787648,8.08208312304125,2.014136622320215,-0.02355480050462252,0.17207651166882057
209,-1.3459728008946705,4.823848804839128,2.0179581341247266,0.10461382951878781,0.4041078188057671
210,0.45103741625548804,1.5326253086413886,0.25842894404808703,0.36304427621003793,0.6011305137924616
211,-0.9308254484533615,1.1051471048265873,0.8706074159364482,-0.02064853637352387,0.21429711576068436
212,1.5824806996250653,3.8246203118399076,1.2399470508636132,0.27100798561917516,0.4156781502108561
213,0.7815033473093165,3.9094950309737424,1.3347816826058934,0.15863608561814452,0.2701128134311714
214,0.6030339646612105,3.8031448669652224,1.1711036773963182,0.1654733044503147,0.31926486002937626
215,-1.0190141706506437,3.3882053278717037,0.8632156363895936,0.3137496360804105,0.729858387683235
216,-1.3960256716671686,7.64468034914009,0.617970101974931,0.41398986340120697,0.9901221508302207
217,1.0936265637527112,1.6886633533996689,1.8811728401194219,0.2884371775595676,0.4795136993220728
218,3.2787854850871745,3.4204788434418703,0.7809872870610103,0.44130477634443555,0.45240828824359475
219,-2.264998705798306,3.472340066481639,0.23826485809724718,-0.015106556065065288,0.258974844038101
220,-2.0992880974826447,3.6529036468552816,1.2164005126355955,-0.08727424042446058,0.17022582245139575
221,-1.5084389666406728,2.1996644967351013,1.3564365886944358,0.15028799256821912,0.4820650828757841
222,-2.406171433910812,3.330447213137758,1.073842175545795,-0.05750894939163692,0.26754373810783044
223,-2.2466072407701643,2.393700300990149,1.2088331325669437,0.19633069783480095,0.6280907749197199
224,1.877871258115261,2.972161137867056,1.147240694701579,0.28336838574966394,0.2963399582653995
225,1.4952018716046953,2.2823454676161603,1.2736988933771025,0.09826515847987476,0.14256158413763065
226,-1.9190726901769937,6.742494907308281,0.8399805060365272,0.36616654696252854,1.0376440059336407
227,2.709093976052437,4.54249624429664,1.672265073343528,0.5101782242317798,0.6572172443389322
228,0.3063417662917425,3.7858856338461906,0.38459190481802896,0.4212784512765286,0.7344393739171167
229,1.1561610232419768,4.662614314210594,0.7344395860002068,0.1566058062469454,0.2553662713079894
230,1.7703508832370547,3.7612064786552755,0.3033431782044361,0.25317831707438665,0.31709214087665294
231,-1.530299680233895,2.386736163316688,0.3111834467880586,0.1527455638627854,0.48756703193735124
232,-1.650440378783131,2.1955988519840557,0.05912917785937141,0.1405352949017016,0.46856433405233666
233,2.7826493361544666,5.6162365197553035,0.668979083655817,0.3765928431673812,0.35263917873553635
234,-1.3558029375107827,1.812546079545667,0.7151258045533272,0.1754549196324601,0.6163650061858541
235,-0.3787608420967505,2.267331352258819,0.9361027110371858,0.2546641670766747,0.6475694655155033
