underdrain_col,u_mps,dp_pa,medium,mean_diameter_m,equiv_diameter_m,porosity,sphericity_recorded
Pumice stone 1,4.5e-05,0.002628321027919771,Medium pumice stones,0.012549999999999999,0.008282999999999999,0.66,0.66
Pumice stone 2,4.5e-05,0.2777789706679802,Pea gravels,0.0056,0.003696,0.3620689655172414,0.66
Pumice stone 3,4.5e-05,0.02414412177191158,Glass marbles,0.01574,0.0103884,0.39655172413793105,0.66
Small pumice stone ,4.5e-05,0.021240613708621535,Small pumice stones,0.006958333333333334,0.0045925,0.5689655172413793,0.66
Pumice stone 5,4.5e-05,0.049429764195193404,White pebbles,0.014716666666666668,0.009713000000000001,0.3448275862068966,0.66
Pumice stone 1,4.6e-05,0.002687756325834355,Medium pumice stones,0.012549999999999999,0.008282999999999999,0.66,0.66
Pumice stone 2,4.6e-05,0.2839780227810311,Pea gravels,0.0056,0.003696,0.3620689655172414,0.66
Pumice stone 3,4.6e-05,0.024687365838066966,Glass marbles,0.01574,0.0103884,0.39655172413793105,0.66
Small pumice stone ,4.6e-05,0.02171629685543743,Small pumice stones,0.006958333333333334,0.0045925,0.5689655172413793,0.66
Pumice stone 5,4.6e-05,0.05054005014713499,White pebbles,0.014716666666666668,0.009713000000000001,0.3448275862068966,0.66
Pumice stone 1,4.7e-05,0.002747236326529844,Medium pumice stones,0.012549999999999999,0.008282999999999999,0.66,0.66
Pumice stone 2,4.7e-05,0.2901782134200909,Pea gravels,0.0056,0.003696,0.3620689655172414,0.66
Pumice stone 3,4.7e-05,0.0252309015575606,Glass marbles,0.01574,0.0103884,0.39655172413793105,0.66
Small pumice stone ,4.7e-05,0.022192139546116204,Small pumice stones,0.006958333333333334,0.0045925,0.5689655172413793,0.66
Pumice stone 5,4.7e-05,0.051650851175059354,White pebbles,0.014716666666666668,0.009713000000000001,0.3448275862068966,0.66
Pumice stone 1,4.8e-05,0.0028067610300062384,Medium pumice stones,0.012549999999999999,0.008282999999999999,0.66,0.66
Pumice stone 2,4.8e-05,0.29637954258515986,Pea gravels,0.0056,0.003696,0.3620689655172414,0.66
Pumice stone 3,4.8e-05,0.025774728930392475,Glass marbles,0.01574,0.0103884,0.39655172413793105,0.66
Small pumice stone ,4.8e-05,0.02266814178065789,Small pumice stones,0.006958333333333334,0.0045925,0.5689655172413793,0.66
Pumice stone 5,4.8e-05,0.052762167278966515,White pebbles,0.014716666666666668,0.009713000000000001,0.3448275862068966,0.66
Pumice stone 1,4.9e-05,0.0028663304362635373,Medium pumice stones,0.012549999999999999,0.008282999999999999,0.66,0.66
Pumice stone 2,4.9e-05,0.3025820102762378,Pea gravels,0.0056,0.003696,0.3620689655172414,0.66
Pumice stone 3,4.9e-05,0.0263188479565626,Glass marbles,0.01574,0.0103884,0.39655172413793105,0.66
Small pumice stone ,4.9e-05,0.02314430355906245,Small pumice stones,0.006958333333333334,0.0045925,0.5689655172413793,0.66
